CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,,,,,,,,,,,,,
,2/27/2020,12/31/2019,1.06,,1.17,,1.17,,1.11,,1.12,,1.12,,0.62,,1.11,1.08,1.07,1.06,1.04,1.1,1.11,1.04,0.93,,,,,,,,,,,,,
,11/7/2019,9/30/2019,0.4,,0.67,,0.64,,0.64,,0.51,,0.64,0.61,0.6,0.59,0.68,0.71,0.72,0.69,0.6,0.57,,,,,,,,,,,,,,,,
,8/8/2019,6/28/2019,0.581249477,,0.69,,0.74,,0.68,,0.61,0.6,0.71,0.72,0.74,0.72,0.59,0.48,,,,,,,,,,,,,,,,,,,,
,5/9/2019,3/29/2019,0.214545378,,0.25,,0.24,,0.33,,0.34,0.35,0.32,0.18,0.83,,,,,,,,,,,,,,,,,,,,,,,
,2/21/2019,12/31/2018,0.843042521,,0.8,,0.78,,0.78,,0.75,0.72,0.76,0.72,0.6,0.72,,,,,,,,,,,,,,,,,,,,,,
,11/8/2018,9/28/2018,0.435675026,,0.5,,0.46,,0.45,,0.38,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/9/2018,6/29/2018,0.427545201,,0.44,,0.37,,0.39,,0.38,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/10/2018,3/29/2018,0.203623465,,0.1,,0.15,,0.17,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/22/2018,12/29/2017,0.378081144,,0.43,,0.17,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/9/2017,9/29/2017,0.231189965,,0.28,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/10/2017,6/30/2017,0.428932277,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/11/2017,3/31/2017,0.112702895,,0,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/16/2017,12/30/2016,0.238941961,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/10/2016,9/30/2016,0.213548992,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.153974895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,-4.447732301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.125514968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
