CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,,,,,,,,,,,,
,8/3/2023,6/30/2023,3.41,3.71,,4.44,,4.54,,4.64,,4.65,,4.38,,4.38,,1.5,,1.5,,1.52,,1.56,,,,,,,,,,,,,,,,,,,,,,
,5/4/2023,3/31/2023,3.48,3.75,,3.52,,3.5,,3.26,,3.26,,1.02,,1.02,,1.04,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/14/2023,12/31/2022,3.9,4.13,,3.77,,3.77,,1.37,,1.37,,1.45,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,4.3,4.49,,1.55,,1.55,,1.57,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,3.95,4.19,,1.5,,1.5,,1.52,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2022,3/31/2022,3.19,3.63,,1.02,,1.02,,1.04,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/15/2022,12/31/2021,2.93,3.17,,1.37,,1.37,,1.45,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,2.02,2.74,,1.55,,1.55,,1.57,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,2.02,2.64,,1.5,,1.5,,1.52,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,0.87,1.43,,1.02,,1.02,,1.04,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/9/2021,12/31/2020,0.11,1.22,,1.37,,1.37,,1.45,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,1.31,1.66,,1.55,,1.55,,1.57,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/13/2020,6/30/2020,-0.84,1.36,,1.5,,1.5,,1.52,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,0.82,0.91,,1.02,,1.02,,1.04,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/30/2020,12/31/2019,1.26,1.32,,1.32,,1.37,,1.46,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/31/2019,9/30/2019,1.52,1.52,,1.44,,1.45,,1.57,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,1.45,1.45,,1.43,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,0.93,0.93,,0.96,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/31/2019,12/31/2018,1.26,,,1.25,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2018,9/28/2018,1.407762288,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2018,6/29/2018,1.218506835,,,1.23,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/26/2018,3/29/2018,0.933057469,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/1/2018,12/29/2017,0.474568421,,,0.98,,1.04,,1.03,,1.08,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/26/2017,9/29/2017,1.122918584,,,1.02,,1.12,,1.18,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2017,6/30/2017,1.015027883,,,0.98,,0.99,,0.98,,1.03,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/27/2017,3/31/2017,0.763729479,,,0.73,,0.72,,0.77,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.963414634,,,0.95,,0.94,,1.05,,1,,1.09,,1.25,,1.41,,1.56,,1.58,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,-0.648522774,,,1.11,,1.22,,1.17,,1.26,,1.29,,1.42,,1.61,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,1.024101836,,,0.97,,0.98,,0.92,,0.99,,1.08,,1.13,,1.33,,1.35,,0.73,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.770149317,,,0.73,,0.87,,0.96,,1.02,,1.08,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,1.025720339,,,1.02,,1.05,,1.24,,1.32,,1.47,,1.44,,1.52,,1.53,,1.56,,1.57,,1.65,,1.68,,1.71,,1.73,,,,,,,,,,,,,,
,,9/30/2015,1.277665996,,,1.23,,1.32,,1.48,,1.51,,1.52,,1.6,,1.61,,1.62,,1.69,,1.68,,1.71,,1.83,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.996936416,,,1.15,,1.17,,1.31,,1.38,,1.39,,1.42,,1.49,,1.52,,1.53,,1.59,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.900977011,,,1.01,,1.05,,1.17,,1.18,,1.17,,1.23,,1.26,,1.28,,1.32,,1.49,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,1.40345283,,,1.48,,1.49,,1.51,,1.49,,1.5,,1.53,,1.52,,1.47,,1.56,,1.62,,1.61,,1.62,,1.71,,1.53,,1.51,,,,,,,,,,,,
,,9/30/2014,1.519097744,,,1.5,,1.62,,1.63,,1.64,,1.61,,1.6,,1.63,,1.64,,1.66,,1.85,,1.53,,1.33,,,,,,,,,,,,,,,,,,
,,6/30/2014,1.286018692,,,1.34,,1.35,,1.39,,1.48,,1.47,,1.51,,1.5,,1.51,,1.63,,1.53,,1.08,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.972003745,,,1.07,,1.09,,1.27,,1.28,,1.29,,1.28,,1.32,,1.38,,1.53,,1.32,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,1.090112782,,,1.31,,1.32,,1.43,,1.51,,1.53,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,1.316218171,,,1.41,,1.42,,1.58,,1.61,,1.62,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,1.248279159,,,1.34,,1.36,,1.37,,1.48,,1.5,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,1.602843511,,,1.15,,1.16,,1.19,,1.28,,1.27,,1.25,,1.26,,1.27,,1.11,,1.09,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.515758755,,,1.08,,1.09,,1.1,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,1.248326772,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,1.152133072,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,1.032709552,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,1.119367347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,1.111134021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.997721974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.739697695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.75516885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.739405015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.603643096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.43982241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.509772873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.786264592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.618935872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.546515745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
