Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,,,,,
,3/31/2015,0.38236006,,0.098571429,,0.1,,0.101428571,,0.11,0.114285714,0.122857143,0.185714286,0.191428571,0.194285714,0.137142857,,,,,,,,,
,12/31/2014,1.349307309,,0.064285714,,0.065714286,,0.121428571,,0.125714286,0.141428571,0.152857143,0.168571429,0.165714286,0.172857143,0.162857143,0.158571429,0.132857143,0.128571429,0.118571429,0.121428571,0.13,,,
,9/30/2014,0.959155613,,0.132857143,,0.13,,0.152857143,,0.154285714,0.151428571,0.15,0.148571429,0.151428571,0.147142857,0.122857143,0.124285714,0.122857143,0.11,0.112857143,0.162857143,,,,
,6/30/2014,1.152253626,,0.162857143,,0.164285714,,0.142857143,,0.131428571,0.13,0.114285714,0.111428571,0.11,0.1,0.102857143,0.118571429,,,,,,,,
,3/31/2014,0.862984987,,0.118571429,,0.117142857,,0.118571429,,0.11,0.09,0.088571429,0.071428571,0.072857143,0.092857143,,,,,,,,,,
,12/31/2013,0.789850581,,0.094285714,,0.092857143,,0.065714286,,0.064285714,0.067142857,0.068571429,0.068571429,,,,,,,,,,,,
,9/30/2013,0.521757665,,0.068571429,,0.064285714,,0.062857143,,0.06,0.058571429,,,,,,,,,,,,,,
,6/28/2013,0.486400396,,0.057142857,,0.054285714,,0.041428571,,0.042857143,0.025714286,,,,,,,,,,,,,,
,3/28/2013,0.044707877,,0.025714286,,-0.01,,-0.008571429,,-0.01,-0.017142857,,,,,,,,,,,,,,
,12/31/2012,0.133555447,,-0.018571429,,-0.085714286,,-0.017142857,,-0.015714286,0.007142857,,,,,,,,,,,,,,
,9/28/2012,0.130685011,,0.005714286,,,,,,,,,,,,,,,,,,,,,
,6/29/2012,0.104813889,,0.005714286,,,,,,,,,,,,,,,,,,,,,
,3/30/2012,-0.082660127,,-0.04,,,,,,,,,,,,,,,,,,,,,
,12/30/2011,0.635274807,,0.105714286,,,,,,,,,,,,,,,,,,,,,
,9/30/2011,1.159457954,,nan,,,,,,,,,,,,,,,,,,,,,
,6/30/2011,1.265354579,,nan,,,,,,,,,,,,,,,,,,,,,
,3/31/2011,1.110367585,,nan,,,,,,,,,,,,,,,,,,,,,
,12/31/2010,0.867247348,,0.71,,,,,,,,,,,,,,,,,,,,,
,9/30/2010,0.703992138,,0.65,,,,,,,,,,,,,,,,,,,,,
,6/30/2010,0.801100803,,nan,,,,,,,,,,,,,,,,,,,,,
,3/31/2010,0.589173893,,nan,,,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.529187209,,nan,,,,,,,,,,,,,,,,,,,,,
,9/30/2009,0.52022852,,nan,,,,,,,,,,,,,,,,,,,,,
,6/30/2009,0.54379819,,nan,,,,,,,,,,,,,,,,,,,,,
,3/31/2009,0.368363834,,nan,,,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.36176714,,nan,,,,,,,,,,,,,,,,,,,,,
,9/30/2008,0.327129368,,nan,,,,,,,,,,,,,,,,,,,,,
,6/30/2008,0.416226882,,nan,,,,,,,,,,,,,,,,,,,,,
,3/28/2008,0.20579889,,nan,,,,,,,,,,,,,,,,,,,,,
,12/31/2007,0.23,,nan,,,,,,,,,,,,,,,,,,,,,
,9/28/2007,0.23,,nan,,,,,,,,,,,,,,,,,,,,,
,6/29/2007,0.36,,nan,,,,,,,,,,,,,,,,,,,,,
,3/30/2007,0.14,,nan,,,,,,,,,,,,,,,,,,,,,
,12/29/2006,0.21,,nan,,,,,,,,,,,,,,,,,,,,,
,9/29/2006,0.18,,nan,,,,,,,,,,,,,,,,,,,,,
,6/30/2006,0.25,,nan,,,,,,,,,,,,,,,,,,,,,
,3/31/2006,0.07,,nan,,,,,,,,,,,,,,,,,,,,,
,12/30/2005,0.57,,nan,,,,,,,,,,,,,,,,,,,,,
,9/30/2005,0.11,,nan,,,,,,,,,,,,,,,,,,,,,
,6/30/2005,0.09,,nan,,,,,,,,,,,,,,,,,,,,,
,3/31/2005,-0.17,,nan,,,,,,,,,,,,,,,,,,,,,
,12/31/2004,0.09,,nan,,,,,,,,,,,,,,,,,,,,,
,9/30/2004,0.29,,nan,,,,,,,,,,,,,,,,,,,,,
,6/30/2004,0.04,,nan,,,,,,,,,,,,,,,,,,,,,
,3/31/2004,-0.11,,nan,,,,,,,,,,,,,,,,,,,,,
,12/31/2003,0.04,,nan,,,,,,,,,,,,,,,,,,,,,
,9/30/2003,0.05,,nan,,,,,,,,,,,,,,,,,,,,,
,6/30/2003,0.05,,nan,,,,,,,,,,,,,,,,,,,,,
,3/31/2003,-0.05,,nan,,,,,,,,,,,,,,,,,,,,,
,12/31/2002,-0.05,,nan,,,,,,,,,,,,,,,,,,,,,
,9/30/2002,-0.07,,nan,,,,,,,,,,,,,,,,,,,,,
