CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,,
,,12/3/2009,0.2038573,,,,,,,,,,,,
,,9/2/2009,-0.118441312,,,,,,,,,,,,
,,6/4/2009,-0.370097135,,,,,,,,,,,,
,,3/4/2009,-0.985915493,,,,,,,,,,,,
,,12/3/2008,-0.928488297,,,,,,,,,,,,
,,8/29/2008,0.45,,,,,,,,,,,,
,,5/30/2008,0.3,,,,,,,,,,,,
,,2/29/2008,1.01,,,,,,,,,,,,
,,11/30/2007,0.34,,,,,,,,,,,,
,,8/31/2007,-0.21,,,,,,,,,,,,
,,5/31/2007,-0.29,,,,,,,,,,,,
,,2/28/2007,-0.07,,,,,,,,,,,,
,,11/30/2006,0.15,,,,,,,,,,,,
,,8/31/2006,0.08,,,,,,,,,,,,
,,5/31/2006,0.12,,,,,,,,,,,,
,,2/28/2006,0.27,,,,,,,,,,,,
,,11/30/2005,0.09,,,,,,,,,,,,
,,8/31/2005,0.07,,,,,,,,,,,,
,,5/31/2005,-0.2,,,,,,,,,,,,
,,2/28/2005,0.17,,,,,,,,,,,,
,,11/30/2004,0.23,,,,,,,,,,,,
,,8/31/2004,0.14,,,,,,,,,,,,
,,5/28/2004,0.13,,,,,,,,,,,,
,,2/28/2004,-0.04,,,,,,,,,,,,
,,11/28/2003,0,,,,,,,,,,,,
,,8/29/2003,-0.2,,,,,,,,,,,,
,,5/30/2003,-0.36,,,,,,,,,,,,
,,2/28/2003,-1.02,,,,,,,,,,,,
,,11/29/2002,-0.52,,,,,,,,,,,,
,,8/30/2002,-0.97,,,,,,,,,,,,
,,5/31/2002,-0.04,,,,,,,,,,,,
,,2/28/2002,-0.05,,,,,,,,,,,,
,,11/30/2001,-0.44,,,,,,,,,,,,
,,8/31/2001,-0.96,,,,,,,,,,,,
,,5/31/2001,-0.53,,,,,,,,,,,,
,,2/28/2001,-0.15,,,,,,,,,,,,
,,11/30/2000,0.58,,,,,,,,,,,,
,,8/31/2000,1.2,,,,,,,,,,,,
,,5/31/2000,0.47,,,,,,,,,,,,
,,2/29/2000,0.29,,,,,,,,,,,,
,,11/30/1999,0.6,,,,,,,,,,,,
,,8/31/1999,-0.03,,,,,,,,,,,,
,,5/28/1999,-0.05,,,,,,,,,,,,
,,2/28/1999,0.04,,,,,,,,,,,,
,,11/30/1998,-0.09,,,,,,,,,,,,
,,8/31/1998,-0.215,,,,,,,,,,,,
,,5/30/1998,-0.255,,,,,,,,,,,,
,,2/28/1998,-0.12,,,,,,,,,,,,
,,11/28/1997,0.015,,,,,,,,,,,,
,,8/29/1997,0.165,,,,,,,,,,,,
,,5/30/1997,0.225,,,,,,,,,,,,
,,2/28/1997,0.335,,,,,,,,,,,,
,,11/29/1996,0.05,,,,,,,,,,,,
,,8/30/1996,0.045,,,,,,,,,,,,
,,5/31/1996,0.135,,,,,,,,,,,,
,,2/29/1996,0.435,,,,,,,,,,,,
,,11/30/1995,0.755,,,,,,,,,,,,
,,8/31/1995,0.645,,,,,,,,,,,,
,,5/31/1995,0.51,,,,,,,,,,,,
,,2/28/1995,0.43,,,,,,,,,,,,
,,11/30/1994,0.375,,,,,,,,,,,,
,,8/31/1994,0.335,,,,,,,,,,,,
,,5/31/1994,0.245,,,,,,,,,,,,
,,2/28/1994,0.205,,,,,,,,,,,,
,,11/30/1993,0.165,,,,,,,,,,,,
,,8/31/1993,0.1525,,,,,,,,,,,,
,,5/28/1993,0.0725,,,,,,,,,,,,
,,2/28/1993,0.0225,,,,,,,,,,,,
