CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,9/30/2016,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,-0.05,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,-0.07,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,-0.05,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,-0.05,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,-0.08,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,-0.09,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,-0.05,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,-0.08,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,-0.08,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,-0.08,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,-0.07,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
