Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,6/30/2017,0.453517715,,0.43,,0.46,,0.44,,0.41,,,,,,,
,3/31/2017,0.398907357,,0.35,,0.34,,0.31,,0.32,,,,,,,
,12/30/2016,0.395565289,,0.38,,0.36,,0.37,,0.39,0.41,0.42,0.43,0.44,,,
,9/30/2016,0.40470987,,0.34,,0.39,,0.4,,0.41,0.42,,,,,,
,6/30/2016,0.35002636299999995,,0.33,,0.39,,0.41,,0.42,,,,,,,
,3/31/2016,0.20026906100000003,,0.21,,0.27,,0.32,,0.33,0.35,,,,,,
,12/31/2015,0.269519811,,0.26,,0.34,,0.36,,0.37,0.38,0.4,0.41,0.4,0.41,,
,9/30/2015,0.36321570700000005,,0.33,,0.36,,0.35,,0.37,0.38,0.39,,,,,
,6/30/2015,0.44402918700000005,,0.36,,0.37,,0.38,,0.39,,,,,,,
,3/31/2015,0.264056903,,0.29,,0.3,,0.32,,0.33,0.34,,,,,,
,12/31/2014,0.242864567,,0.31,,0.32,,0.33,,0.34,0.35,0.36,0.37,0.35,0.32,,
,9/30/2014,-0.0066566509999999995,,-0.09,,0.31,,0.32,,0.36,0.28,0.3,0.29,0.29,,,
,6/30/2014,0.180646052,,0.29,,0.3,,0.31,,0.34,0.35,0.34,0.05,,,,
,3/31/2014,-0.048671855,,0.05,,0.28,,0.3,,0.29,0.26,,,,,,
,1/3/2014,0.301549274,,0.26,,0.27,,0.28,,0.29,0.28,0.18,,,,,
,10/2/2013,0.19316811899999997,,0.18,,0.19,,0.26,,0.24,0.25,,,,,,
,7/2/2013,0.30986133,,0.25,,0.26,,0.25,,0.23,,,,,,,
,4/2/2013,0.09950892800000001,,0.23,,0.22,,0.21,,0.02,,,,,,,
,1/3/2013,0.033853422,,0.19,,0.2,,-0.07,,,,,,,,,
,10/2/2012,-0.003062312,,-0.07,,,,,,,,,,,,,
,7/3/2012,0.18155053699999998,,0.15,,,,,,,,,,,,,
,4/3/2012,0.030477841000000002,,0.13,,,,,,,,,,,,,
,1/4/2012,0.15,,,,,,,,,,,,,,,
,10/4/2011,0.562765454,,,,,,,,,,,,,,,
,7/5/2011,-0.904117394,,,,,,,,,,,,,,,
,4/4/2011,0.171637763,,,,,,,,,,,,,,,
,1/4/2011,-0.15592968699999998,,,,,,,,,,,,,,,
,10/4/2010,-0.7665119579999999,,,,,,,,,,,,,,,
,7/2/2010,0.277473794,,,,,,,,,,,,,,,
,4/5/2010,0.28325118,,,,,,,,,,,,,,,
,1/5/2010,-0.601767431,,,,,,,,,,,,,,,
,10/2/2009,-0.25956023699999997,,,,,,,,,,,,,,,
,7/2/2009,0.332759338,,,,,,,,,,,,,,,
,4/2/2009,0.437566193,,,,,,,,,,,,,,,
,1/5/2009,-0.482545159,,,,,,,,,,,,,,,
,10/2/2008,0.15480768,,,,,,,,,,,,,,,
,7/2/2008,0.7650554959999999,,,,,,,,,,,,,,,
,4/2/2008,0.271227412,,,,,,,,,,,,,,,
,1/3/2008,0.05,,,,,,,,,,,,,,,
,10/2/2007,0.82,,,,,,,,,,,,,,,
,7/3/2007,1.28,,,,,,,,,,,,,,,
,4/3/2007,1.16,,,,,,,,,,,,,,,
,1/4/2007,1.15,,,,,,,,,,,,,,,
,10/3/2006,1.18,,,,,,,,,,,,,,,
,7/5/2006,1.19,,,,,,,,,,,,,,,
,4/4/2006,1.07,,,,,,,,,,,,,,,
,1/4/2006,0.82,,,,,,,,,,,,,,,
,10/4/2005,1.02,,,,,,,,,,,,,,,
,7/5/2005,1.06,,,,,,,,,,,,,,,
,4/4/2005,1.14,,,,,,,,,,,,,,,
,1/4/2005,0.93,,,,,,,,,,,,,,,
,10/4/2004,0.91,,,,,,,,,,,,,,,
,7/2/2004,0.93,,,,,,,,,,,,,,,
,4/2/2004,0.92,,,,,,,,,,,,,,,
,1/5/2004,0.91,,,,,,,,,,,,,,,
,10/2/2003,0.96,,,,,,,,,,,,,,,
,7/2/2003,0.9,,,,,,,,,,,,,,,
,4/2/2003,0.8,,,,,,,,,,,,,,,
,1/3/2003,0.85,,,,,,,,,,,,,,,
,10/2/2002,0.73,,,,,,,,,,,,,,,
,7/2/2002,0.7,,,,,,,,,,,,,,,
,4/2/2002,0.69,,,,,,,,,,,,,,,
,1/3/2002,0.64,,,,,,,,,,,,,,,
,10/2/2001,0.26,,,,,,,,,,,,,,,
,7/3/2001,0.62,,,,,,,,,,,,,,,
,4/3/2001,0.58,,,,,,,,,,,,,,,
,1/3/2001,0.43,,,,,,,,,,,,,,,
,10/3/2000,0.55,,,,,,,,,,,,,,,
,7/5/2000,0.62,,,,,,,,,,,,,,,
,4/4/2000,0.67,,,,,,,,,,,,,,,
,1/4/2000,0.56,,,,,,,,,,,,,,,
,10/4/1999,0.62,,,,,,,,,,,,,,,
,7/2/1999,0.54,,,,,,,,,,,,,,,
,4/5/1999,0.54,,,,,,,,,,,,,,,
,1/5/1999,0.33,,,,,,,,,,,,,,,
,10/2/1998,0.11,,,,,,,,,,,,,,,
,7/2/1998,0.72,,,,,,,,,,,,,,,
,4/2/1998,0.26,,,,,,,,,,,,,,,
,1/5/1998,0.57,,,,,,,,,,,,,,,
,10/2/1997,0.54,,,,,,,,,,,,,,,
,7/2/1997,0.51,,,,,,,,,,,,,,,
,4/2/1997,0.47,,,,,,,,,,,,,,,
,1/3/1997,0.54,,,,,,,,,,,,,,,
,10/2/1996,0.53,,,,,,,,,,,,,,,
,7/2/1996,0.5,,,,,,,,,,,,,,,
,4/2/1996,0.42,,,,,,,,,,,,,,,
,1/3/1996,0.47,,,,,,,,,,,,,,,
,10/3/1995,0.49,,,,,,,,,,,,,,,
,7/5/1995,0.43,,,,,,,,,,,,,,,
,4/4/1995,0.4,,,,,,,,,,,,,,,
,1/4/1995,0.37,,,,,,,,,,,,,,,
,10/4/1994,0.39,,,,,,,,,,,,,,,
,7/5/1994,0.4,,,,,,,,,,,,,,,
