CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,,,,,,,
,,12/31/2014,0.737665265,,0.57,,0.59,,0.57,,0.56,,0.5,,0.52,,0.49,,0.48,0.5,0.6,,,,,,,,,,,,
,,9/30/2014,0.741344626,,0.6,,0.61,,0.6,,0.62,,0.64,,0.63,,0.6,,0.56,0.6,0.64,0.5,,,,,,,,,,,
,,6/30/2014,0.465673235,,0.5,,0.52,,0.53,,0.55,,0.6,,0.56,,0.52,,0.5,0.56,0.55,0.61,0.62,0.1,,,,,,,,,
,,3/31/2014,0.200635413,,0.08,,0.07,,0.09,,0.11,,0.16,,0.2,,0.22,,0.23,0.2,0.19,0.18,0.15,0.5,,,,,,,,,
,,12/31/2013,0.478142886,,0.49,,0.5,,0.45,,0.41,,0.42,,0.46,,0.61,,,,,,,,,,,,,,,,
,,9/30/2013,0.589190037,,0.58,,0.57,,0.58,,0.58,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.314311356,,0.69,,0.66,,0.67,,0.62,,0.61,,0.39,,0.41,,,,,,,,,,,,,,,,
,,3/28/2013,0.32891184,,0.41,,0.4,,0.39,,0.31,,0.32,,0.56,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.852023713,,0.62,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.951807118,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.676279587,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.291151842,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.375563668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.196654362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.302710646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,-0.146522071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.44255871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
